,Title,Location,Company,Description,Salary,Tipo_Puesto,English,Academy_grade,Years_Experience,SoftSkill,HardSkill,Remoto,Estado,Accessed_Date
759,Data Engineer Senior,"San Nicolás de los Garza, Nuevo León","CONSISS, S.A. DE C.V.","En Consiss innovation labs somos socio estratégico de muchas empresas para proporcionar soluciones de tecnología, brindando servicios de staffing de personal, fábrica de software, con más de 20 años en el mercado y presencia en el Norte, Centro y Sudamérica.
  Actualmente estamos buscando Data Engineer Senior para uno de nuestros clientes con giro Retail con más de 30 años en el mercado.
    ¿Qué aportaras al equipo?
  Como Data Engineer Senior serás responsable de brindar la mejor experiencia de Usuario asegurando el correcto funcionamiento de los procesos
  Experiencia mínima de 5 años
  Requisitos
·          Amplia experiencia en manejo de Base de Datos y ETL
·          Amplia experiencia en SQL
·          Amplia experiencia usando/creando ETL en ambiente cloud (data feeds, monitoring, aggregating)
·          Experiencia en Cloud DataWarehouse (Tablas, vistas en Google Cloud Platform GCP)
·          Experiencia codificando con Python o BigQuery
·          Experiencia construyendo API´s (si ha usado Net Core es un plus)
·          Inglés avanzado (INDISPENSABLE)
  Herramientas
·          Spark Framework
·          Python or Google BigQuery
·          Scala (Extensión Lenguaje Java)
·          Desarrollo de API´s (si ha usado Net Core es un plus)
·          DataFlow (Servicio de analítica de Google Cloud)
·          Jenkins u otra herramienta CI/CD (Argo, CircleCi, GitHub Actions, GoCD, Gradle, Helm)                                                                                                                                                                                                                                             
  ¿Qué te encantará de trabajar con nosotros?
  ·          Nos preocupamos y nos ocupamos porque seas feliz y desempeñes tus funciones de una manera extraordinaria.
·          Ofrecemos oportunidades de crecimiento profesional y personal con cursos técnicos y humanos que te permitirán desarrollarte de manera integral.
·          Ofrecemos una compensación competitiva y beneficios centrados en nuestro talento, seguro de gastos médicos mayores y menores a precio de flotilla, prestamos, descuentos en universidades, escuelas de inglés, lugares de diversiones, restaurantes, agencias de viajes, etc
·          Programas de recompensas
    ¿Quieres ser parte de nosotros?
  Envía tu CV al correo indicado (No olvides incluir tu teléfono actualizado, sueldo deseado y horario disponible para entrevista telefónica inicial).
  ¡Atrévete a vivir experiencias extraordinarias y llevemos juntos a nuestros clientes a la Nueva Ola Tecnológica!!
         ",No especificado,Empleado de tiempo completo,Nivel Avanzado,,"20 años, 30 años, 5 años","Capacidad Analitica, Innovation","Python, Java, SQL, Scala, Jenkins, Argo, Github Actions, Spark, GCP, Big Query, Github",, Nuevo León,2021-11-08
760,Data Analyst - Cdmx,"Cuauhtémoc, Ciudad de México",Listopro,"Listopro es la mejor manera de conseguir tu proximo trabajo digital. En Listopro son las empresas quien invita a los candidatos, al completar tu perfil eres considerado para las vacantes que coinciden con tu perfil.

¿Como funciona el proceso?
1.Completa tu perfil en nuestra página. 
2.Espera a que una empresa te invite a su proceso, no necesitas postularte como en los portales tradicionales
3.Crear una cuenta es totalmente gratuita, además te da acceso a varias herramientas, para crear tu CV o acceso a material para capacitarte
4.Si ya tienes cuenta, simplemente entrar a nuestra página y actualiza tu perfil.

Sobre esta posición.
Responsibilities:
-Understand business requirements that need data and cover them into solutions.
-Design and maintain our data pipelines, ETLs and other data tools.
-Support data-driven discussions within your squad and chapter.
-Develop end-to-end data analytics solutions.
-Ensure that all technical solutions are aligned with business strategy and understand OKRs and initiatives related to the product.
-Transform and load data to Data Lake, Data Warehouse, both our own and our partners.
-Create and maintain documentation such as infrastructure design specifications and diagrams, operational guides and methodology documentation.
-Work closely with Data Scientists, Business Analysts and other engineers to improve our analytics-ready data layer.

Requirements:
-2+ years experience as a data engineer or related experience.
-You enjoy creating new solutions from scratch and be a part of the whole development process.
-You are passionate about data and have a software as a service mindset.
-Skill in developing and implementing ETL and data pipelines in a cloud-based environment. Fluent in Python, R or Scala. Proficient in SQL.
-Have worked on AWS, GCP or Azure infrastructure.
-Familiar with business intelligence tools such as Tableau, PowerBI, Metabase, etc.
-Comfortable working inside a multidisciplinary squad with tech and non-tech resources.
-Ability to translate business requirements into data solutions.
-You are structured, organized and have great people skills.
-Advanced working knowledge of Spanish and English at minimum (Portuguese is a plus).","$ 70,000 a 80,000",Empleado de tiempo completo,Nivel Avanzado,,2+ years,Analitical,"Python, R, SQL, Scala, Data Warehouse, Data Lake, AWS, Azure, GCP, Tableau, Power BI",, Ciudad de México,2021-11-08
761,Data Business Partner - Cdmx,"Cuauhtémoc, Ciudad de México",Listopro,"Listopro is a platform that connects candidates with companies in Latin America. It is the first where when completing your profile, it is the companies that invite you to their processes.

How does the process work?
1.The first step is to complete your profile on our page
2.We will contact you to be validated
3. Companies invite you to their processes
4.Creating an account is completely free
5.If you already have an account, just go to Listopro  and update your profile.

About position:
We are looking for a talented Data Business Partner in charge of creating the foundations to foster our Business strategy connecting different data sources to impact Business performance through insights.

Responsibilities:
Will develop our data ecosystem and models into one business strategy within Growth, Product, and Technology.
Works closely with the Global Data team and main business stakeholders to build data-based decision-making models using technology to solve current business challenges.
Create customer understanding models & clusterization.
Understand customers cohorts and main levers of growth.
Create and organize raw data.
Manage Data warehouse.
Connect new data sources.
Re-design current Data Visualization Dashboards.
Develop new Business Data strategies.
Track data & KPIs accuracy.
Analyze business and discover new opportunities from data.
Support business Growth with data models.
Support main business decisions with data insights.

Requirements:
Excelling Data Management Skills.
Advance Analytics, ability to analyze and improve data processes.
Creative thinkers, who are constantly finding new ways to solve complex & ambiguous problems.
Effective communicators, cross-functional partners, and presenters.
Flexible team players who maintain a positive mindset in the face of uncertainty.
Excellent strategic and analytical thinking skills.
We expect our team members to learn quickly and handle several challenges, wherever they are needed within the company.
Broad vision and ability to connect insights from different sources and areas.
Highly business-driven and deep business knowledge.
Database languages (e.g. SQL).
Statistical software (e.g. Python).
Knowledge working with non structured data in data lakes (e.g. Snowflake, Hadoop).
Preferred knowledge in ETL tools (Pentaho, data factory).
Knowledge of a visualization tool needed.
Power BI preferred.
4259","$ 50,000 a 60,000",Empleado de tiempo completo,Nivel Intermedio,,,"Analitical, Continuously learn, strategic, Team Player, Working with cross functional teams","Python, SQL, Data Warehouse, Hadoop, Power BI",, Ciudad de México,2021-11-08
762,Administrador de Base de Datos DBA,"Miguel Hidalgo, Ciudad de México",AGO Consultores,"Importante empresa de Servicios de Tecnología solicita:                                                                                                                                                                                                                                    Administrador de Base de Datos  con experiencia mínima de 3 años.
Buscamos Lic. en Computación, Sistemas o carreras afín con 3 años mínimos de experiencia en SQL Server.
REQUISITOS
·          Escolaridad: Ingeniería / Licenciatura en computación - sistemas o afín
·          Experiencia: 3+ años de experiencia trabajando con MSQL Server 2008, 2012 & 2016:
·          Instalación, mantenimiento y actualización de bases de datos
·          Diseño, implementación, optimización y ajuste de rendimiento de bases de datos
·          Optimización de consultas
·          Creación de objetos (Procedimientos, tablas, vistas, funciones, etc.)
·          Administración de la autentificación y manejo de capas de seguridad (roles, permisos)
·          Estrategias de respaldos y mantenimiento
·          Dominio de lenguaje T-SQL indispensable
·          Experiencia en seguimiento de proyectos
·          Conocimientos generales en otros motores de BDD: MySQL, PostgreSQL, NoSQL (MongoDB)
  DESEABLE
·          Conocimiento de SCRUM
·          Conocimiento general en BI, data warehouse, ETLs, cubos MOLAP
·          Uso y manejo de herramientas SSRS, SSIS y SSAS
·          Manejo de Power BI
·          Lenguaje Consultas DAX / MDX
·          Python
FUNCIONES
Administrar el servidor de BDD
Trabajar en equipo con las áreas técnicas (BI, Sistemas, Móviles, Investigación y Desarrollo) para diseñar, programar, mantener, monitorear y optimizar las BDD que se requieran en los proyectos
Colaborar en la definición de políticas y mejores prácticas en el uso y programación de las BDD de la organización.
Revisar y evaluar los objetos de BDD en ambientes de QA previo a su puesta en Producción
Apoyar a las áreas técnicas en la implementación de otras tecnologías de BDD además de MSSQL (por ejemplo, MySQL, MongoDB, etc.) de acuerdo con el requerimiento del proyecto
Soporte a Producción para mantener las BDD en línea
Optimizar y ajustar el rendimiento de las BDD.
Implementar los esquemas de seguridad necesarios en las BDD a nivel usuario y aplicación.
Realizar cambios dentro de las ventanas de Mantenimiento específicas para evitar interrupciones en la operación.
Solucionar errores en las BDD.
Monitorear activamente las BDD, incluyendo uso, espacio, rendimiento y carga
Implementar, ejecutar y monitorear planes de Mantenimiento a las BDD.
Programar Jobs para la ejecución de: SPs (TSQL), paquetes SSIS (ETL), paquetes CMD, tareas de SSAS (cubos)
COMPETENCIAS REQUERIDAS
• Responsabilidad
• Trabajo en equipo
• Comunicación eficaz
• Innovación
• Habilidad de Gestión y Planificación
• Atención al detalle
• Orientación al Logro y trabajo por objetivos
• Visión estratégica
• Pensamiento analítico
• Integridad
Ofrecemos:
Sueldo competitivo de acuerdo a aptitudes. ($30, 000 a $35 000 Brutos)
Prestaciones de Ley y superiores
Home Office.
Horario de Oficina de Lunes a Viernes de 8:30 a 6:00 pm
Si cumples con los requisitos al 100% envía tu CV con fotografía y datos completos, experiencia previa y datos de contacto actualizados para que nos pongamos en contacto contigo.","$ 30,000 a 35,000",Empleado de tiempo completo,Nivel Básico,Licenciatura,"3 años, 3 años, 3+ años",Trabajo en equipo,"Python, SQL, NoSQL, MongoDB, MySQL, PostgreSQL, SQL server, Data Warehouse, Office, Scrum, Power BI",, Ciudad de México,2021-11-08
763,Analista de datos (Data analyst) - Remoto en México,Remoto - Solo México,Listopro,"Listopro es la mejor manera de conseguir tu proximo trabajo digital. En Listopro son las empresas quien invita a los candidatos, al completar tu perfil eres considerado para las vacantes que coinciden con tu perfil.

¿Como funciona el proceso?
1.Completa tu perfil en nuestra página. 
2.Espera a que una empresa te invite a su proceso, no necesitas postularte como en los portales tradicionales
3.Crear una cuenta es totalmente gratuita, además te da acceso a varias herramientas, para crear tu CV o acceso a material para capacitarte
4.Si ya tienes cuenta, simplemente entrar a nuestra página y actualiza tu perfil.

Sobre esta posición.
Sobre esta posición.
We are looking for a senior data analyst to join our data team. You will take responsibility for managing our master data set, developing reports, and troubleshooting data issues. To do well in this role you need a very fine eye for detail, experience as a data analyst, and a deep understanding of the popular data analysis tools and databases.

Responsibilities:
-Managing master data, including creation, updates, and deletion.
-Managing users and user roles.
-Provide quality assurance of imported data, working with quality assurance analysts if necessary.
-Commissioning and decommissioning of data sets.
-Processing confidential data and information according to guidelines.
-Helping develop reports and analysis.
-Managing and designing the reporting environment, including data sources, security, and metadata.
-Supporting the data warehouse in identifying and revising reporting requirements.
-Supporting initiatives for data integrity and normalization.
-Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.
-Generating reports from single or multiple systems.
-Troubleshooting the reporting database environment and reports.
-Evaluating changes and updates to source production systems.
-Training end-users on new reports and dashboards.
-Providing technical expertise in data storage structures, data mining, and data cleansing.

Requirements:
-Bachelor’s degree from an accredited university or college in computer science.
-Work experience as a data analyst or in a related field.
-Ability to work with stakeholders to assess potential risks.
-Ability to analyze existing tools and databases and provide software solution recommendations.
-Ability to translate business requirements into non-technical, lay terms.
-High-level experience in methodologies and processes for managing large-scale databases.
-Demonstrated experience in handling large data sets and relational databases.
-Understanding of addressing and metadata standards.
-High-level written and verbal communication skills.","$ 35,000 a 40,000",Empleado de tiempo completo,Nivel Intermedio,"Bachelor, Master",,"Comunication skills, strategic, Written and oral communication",Data Warehouse,Remote,Remoto,2021-11-08
764,Data Base Administrator,Remoto,TrueHome,"¿Quiénes somos?
Somos la startup mexicana que revolucionó la industria inmobiliaria en México combinando un servicio de excelencia con el mejor apalancamiento tecnológico (proptech). Estamos cambiando la forma en que se compra y venden los inmuebles y todo es gracias al talento de nuestros #Truehomers.
Nuestro equipo
En TrueHome nos encontramos en búsqueda de un  Administrador de Base de Datos para dar el siguiente paso en nuestra misión y seguir construyendo productos fabulosos para México. Si eres curioso, tienes el don del análisis en tus venas y sientes esa pasión por crear soluciones para evolucionar la experiencia en la búsqueda de un hogar de millones, entonces esto te interesa.
¡Estamos en búsqueda del mejor talento, para unirse a una de las mejores Startups del país!
  ¿Cómo será tu día a día?
Las principales responsabilidades son: 
Diseño, implementación, operación, monitoreo y mantenimiento de las bases de datos de TrueHome .
Colaborar con el fabuloso equipo de BI y de Datos en la elaboración de estrategias tanto tecnológicas como de cultura en el marco de una Gobernanza de Datos .
Diseño e implementación de un Data Lake que encaminará al negocio hacia una cultura ""Data Driven"".
  ¿A quién buscamos?
Requisitos indispensables para la posición: 
4+ años en posición similar 
Experiencia en la elaboración de políticas para el buen diseño y administración de BDs.
Excelente manejo de lenguaje SQL (tuning)
Tienes experiencia en el diseño e implementación de Bases de Datos transaccionales.
Has implementado Bases de Datos SQL y NoSQL.
Experiencia en la implementación de Datawarehouse (Manejo de cubos OLAP)
Experiencia monitoreando el desempeño y alertas.
Has participado de políticas de Gobernanza de Datos.
Eres un obsesivo con la seguridad de las BDs que administras. Políticas de acceso y cifrado de información.
  Ofrecemos: 
Sueldo base 
Seguro de Gastos Médico Mayores 
Seguro de Vida
Herramientas de trabajo 
Un increíble ambiente de trabajo creativo
Clases de Inglés y Excel
Beneficios Wellness: yoga, cardio, meditación, nutrición, etc",No especificado,Empleado de tiempo completo,Nivel Básico,,4+ años,Creatividad,"SQL, NoSQL, Data Lake, Excel",Remote,Remoto,2021-11-08
765,Arquitecto de Datos,"Cuajimalpa de Morelos, Ciudad de México",INGENES,"Únete a este gran proyecto, Instituto Ingenes, sumando con tu talento como  Arquitecto de Datos   y sigamos “Haciendo Familia Juntos”

Contamos con más de 15 años transformando vidas, más de 35,000 bebés en casa, nos respaldan como el Instituto de Reproducción Asistida líder en América Latina. 

Por expansión estamos en búsqueda talento que sume a esta gran familia, talento que inspire, talento que comparta y viva nuestros valores, y sobre todo talento comprometido a trabajar en equipos multidisciplinarios para construir juntos una experiencia única para nuestros pacientes y para nuestra gran familia. 


¿Cuál es tu Reto?

Definir, desarrollar, identificar y proponer cambios que mejoren la confiabilidad de la data y los tiempos de servicio.
Disponibilizar datos a partir de transformaciones en distintos niveles de madurez de la información. Generar reportes de forma automatizada, para garantizar replicabilidad, trazabilidad y calidad.
Implementar prácticas y pruebas que garanticen la disponibilidad ágil y de calidad de la información


Principales Actividades:

Diseñar la estructura de los datos
Ser responsable de los procesos de extracción, transformación y carga de los datos
Reporting, desarrollo de dashboards
DataWhereHouse
Nutrir de Información:
-Inteligencia Marketing
-Inteligencia Negocio
-Inteligencia Médica


Requerimientos:

Experiencia mayor a 2 años en puestos similares.
Conocimiento y experiencia en las siguientes tecnologías:
-Análisis de los datos
-Modelado de datos
-Integración de datos
-Diseño de base de datos
-Manejo de archivos TXT, CSV, etc
-Manejo de R y phyton.
-SQL (Avanzado)
-SQL Server Reporting Services
-Herramientas de consumo de datos como Tableau, Microstrategy. power BI, Cognos, Pentaho, OBIEE, QlikView, Qlick Sense o similares.
-Tablas de dimensión, Datamarts y Data Warehouse

Herramientas:
SQL (Avanzado)
Phyton o R (Intermedio)
Excel (Avanzado)
 ","$ 30,000 a 35,000",Empleado de tiempo completo,Nivel Intermedio,,"15 años, 2 años",,"R, SQL, SQL server, Data Warehouse, Excel, Tableau, Power BI, QlikView",, Ciudad de México,2021-11-08
766,Global BI Project Manager,Remoto,Teleperformance México,"Position Summary:
As Global BI Project Manager you will support the business with the design, evaluation, and implementation of BI requirements.  You will collaborate with stakeholders across all key departments and build a solid understanding of the systems and processes that drive the business. Essential to this role is the ability to understand the needs of a department and translate them to effective BI that can inform and drive business decision-making.
You must be able to work to short timescales and able to interpret complex business problems to offer relevant analytical solutions. You must be able to work with all levels of the business, from SMEs to C-Level Management.
  Qualifications:
·               Bachelor’s Degree (at least in progress) preferably in a technical or engineering field (Computer Science, MIS, Data Science, etc.).
·               12 Months Experience in a Call Center Position.
·               Minimum of 2 Year Experience using Power BI.
·               12 Month Experience using SQL, MySQL, or Oracle desirable.
·               Advanced knowledge of Microsoft Office.
·               Working knowledge of Flow and PowerApps is highly desirable.
·               Basic knowledge in any programming language.
·               Analytical mindset focused on process and data analysis. Ability to translate knowledge and insight to non-BI experts.
·               Understanding of data warehouse design (e.g., dimensional modeling) and data mining.
·               Proven abilities to take initiative and be innovative.
·               Analytical mindset with a problem-solving aptitude.
·               Language level: English Fluent.
·               Power BI / DAX.
·               SQL (Procedures, T-SQL, functions, grouping by sets, variables, etc.).
·               Microsoft SQL Server Management Studio & Integration Services (SSIS).
·               Visual Basic and Macros desired.
·               Basic knowledge language oriented to objects preferred.
·               Intermediate database knowledge.",No especificado,Empleado de tiempo completo,Nivel Avanzado,Bachelor,2 Year,"Analitical, Collaborate, Innovation, Problem solving","C/C++, SQL, MySQL, SQL server, Oracle, Data Warehouse, Office, Power BI",Remote,Remoto,2021-11-08
767,Oracle Analytics Consultant,"Querétaro, Querétaro",Deloitte Consulting,"Deloitte is one of the leading organizations in the professional services areas around the world thanks to the continued efforts and talent of our people. Together we conform a team of approximately 170,000 people within 150 countries. Today you can be part of it with our offices in Mexico. At Deloitte you'll be able to:
  1.    Work side by side with the best professionals, learning from your teammates and reaching success all as one team
2.    Get to know and work side by side with the most important companies in our country while helping them to reach their business goals.
3.    You will have countless learning opportunities and development, which will help you define the direction in which you want to take your career
4.    Deloitte's vision is to be the standard of excellence. Are you ready to join our team and accept the challenge?

Apply if you have experience in:
Provide expertise in performing application development, configuration and unit testing of Oracle Analytics Cloud (OAC), Data Visualization (DV) and Data Integration (using ODI, PL/SQL, SQL).
Work closely with Oracle Analytics team members and Testers using Agile sessions to develop high BI data models to support reporting needs.
Provide hands-on technical solutions to business challenges & translates them into process/ technical solutions.
Log and track defects and communicate to teams for resolution
Deliver high quality work and adapt to new challenges, as an individual or as part of a team
  Skillset:
1+ year of primary focus on developing customer solutions using Oracle's analytics offerings: Oracle Analytics Cloud, Data Visualization, Fusion Analytics for Warehouse, OBIEE, OBIA, Machine Learning and Autonomous Data warehouse(ADW)
1+ year of extensive, hands on, end to end implementation experience using OAC/OBIEE Reporting tools – BI Publisher, Analysis & Dashboards
Knowledge of OBIA pre-built content and deep experience with customizing/extending OBIA pre-built content of different modules
Solid understanding of Business Intelligence (BI) tools, Data Warehouse (DW), Data Modelling concepts and SQL/PLSQL
Good knowledge of Oracle Applications – Oracle E-business Suite or Oracle ERP, Oracle HCM (the Oracle cloud SaaS offering) is preferable

¡Be part of the largest technology consulting firm!
THE BEST DECISION",No especificado,Empleado de tiempo completo,Nivel Intermedio,,"1+ year, 1+ year","Analitical, Comunication skills, Continuously learn","SQL, Oracle, Data Warehouse",, Querétaro,2021-11-08
768,Senior Business Intelligence and Analytics Consultant - Cdmx,"Cuauhtémoc, Ciudad de México",Listopro,"Listopro es la mejor manera de conseguir tu proximo trabajo digital. Grandes corporativos, empresas de tecnología y startups utilizan nuestra plataforma para contratar posiciones estratégicas, principalmente en tecnología, producto, ventas de software y marketing digital.Nuestra plataforma es la primera que invierte el proceso de postulación: en Listopro, son las empresas quien invita a los candidatos, al completar tu perfil eres considerado para las vacantes que coinciden con tu perfil.

¿Como funciona el proceso?
1.Completa tu perfil en nuestra página. 
2.Espera a que una empresa te invite a su proceso, no necesitas postularte como en los portales tradicionales
3.Crear una cuenta es totalmente gratuita, además te da acceso a varias herramientas, para crear tu CV o acceso a material para capacitarte
4.Si ya tienes cuenta, simplemente entrar a nuestra página y actualiza tu perfil.

Sobre esta posición.

What you are going to do:
-Responsibility for the development of the reporting area of the CRM environment for the construction, development and optimization of the data model for consultations and support for planned PowerBI reports for the CRM environment.
-Reporting automation to support business processes.
-Selection and recommendation of appropriate tools and components for effective reporting and data analysis.
-Managing the backlog of development work in the field of reporting.
-Cooperation with data analysts preparing reports in PowerBI.
-Support in the development and implementation of Machine Learning solutions (segmentation, predictive modeling),
-Identifying new reporting and analytical opportunities, improving the manufacturing process.


Requirements:
-Experience min 2 years in the area of building analytical and reporting models, semantic models, basic knowledge of Dax, Mdx, Sql.
-The ability to analyze users' reporting and analytical requirements and map them to the data model.
-Knowledge of Data Integration, Data Warehouse and Business Intelligence.
-Practical experience in working in Microsoft Azure, DataBricks, Power BI, Analysis Services environments.
-English advanced.","$ 40,000 a 45,000",Empleado de tiempo completo,Nivel Avanzado,,2 years,"Analitical, Continuously learn","SQL, Data Warehouse, DataBricks, Azure, Power BI",, Ciudad de México,2021-11-08
769,Snowflake Developer or Datastage,"Guadalajara, Jalisco",MexInc,"Te gustaría trabajar en una de las empresas más grandes e importantes de EUA dedicadas a la banca. Si cuentas con un Nivel avanzado en Ingles y lo hablas fluido, postúlate ya que tenemos varias posiciones a nivel Intermedio y Avanzado. Sueldo : abierto a negociar, así como prestaciones y beneficios extras, Interesados enviar CV a:
Y mientras dura la pandemia el trabajo es vía remoto
  Posición : Dataware House ETL                                                                                                                              Experiencia: 3 años o mas  Lugar de trabajo : GDL Minerva/Vista Salario: depende de las capacidades $45,000 al 65,000   EN UNA DE ESTAS POSICION NECESITAS:
Conocimientos sólidos en SQL fuerte, Unix / Linux, experiencia con cualquier base de datos como (Oracle, DB2, Netezza, SQL Server). Deseable: Control-M o cualquier otra herramienta de programación, • ETL Tableau y DataStage
  EN LA DE MAYOR EXPERIENCIA OCUPAMOS:
Experiencia minina de 4años de ETL Datastage y Snowflake . Diseño y desarrollo de sistemas de procesamiento de datos distribuidos y almacenamiento, experiencia en la creación de un almacén de datos, extracción, carga, pruebas, modelado y garantizar el buen funcionamiento de las aplicaciones, Analizar datos, identificar, problemas, patrones y tendencias, Experiencia en el modelado de datos Snowflake, ETL usando Snowflake SQL, implementación de procedimientos almacenados y conceptos estándar DWH + ETL, Capacidad para diseñar, codificar y probar rutinas ETL, Conocimiento en tecnologías Cloud- AWS / GCP / AZURE, Ejecución de proyectos en entornos ágiles (Kanban y Scrum). Experiencia con scripts de shell, Python, control M, Buena comprensión de los conceptos de diseño de bases de datos - Transaccional / Datamart / Data warehouse, etc.","$ 60,000 a 70,000",Empleado de tiempo completo,Nivel Avanzado,,3 años,,"Python, SQL, SQL server, Oracle, Data Warehouse, Scrum, Linux, unix, AWS, Azure, GCP, Tableau",, Jalisco,2021-11-08
770,Senior Database Developer,Remoto - Solo México,NearShore Technology,"Nearshore Technology is a high-tech outsourcing company providing IT services to Fortune 1000 companies with a focus in Healthcare, Financial Services and Technology. Nearshore is headquartered in the US with growing offices in Mexico. Our goal is to provide high quality IT services with exceptional customer service to our clients while creating a fun environment to work in. Nearshore is passionate about what we do, and we are looking for people that share that passion.
  Come work for a fun company with great opportunity for growth and training. We know our employees are our most valuable asset and we look forward to adding you to the team.
  The database developer is responsible for the design and development of database objects and procedural code to support various products for the organization. The database developer also creates programs to populate and maintain the data in the department’s transaction processing and data warehousing systems. This involves the creation of ETL programs along with the supporting stored procedures, functions, triggers, and constraints. The position requires extensive hands-on experience developing database queries, ETL, and associated code in a Microsoft SQL Server environment.

Responsibilities:
 Understand and apply database design and development principles for both transactional and dimensional schemas to support application requirements.
Design, plan, and develop programs to optimally extract, transform, and load data from data sources to the target systems.
Develop or modify procedures to solve complex database design problems, including performance, scalability, security and integration issues.
Design, develop and maintain SQL Server Reporting Services reports.
Maintain source code for database and ETL projects. Ensure that projects build successfully in a continuous integration environment.
Troubleshooting and tuning complex SQL statements and making recommendations on indexing strategies.
Diagnose and resolve database performance issues. Support of production systems by providing timely fixes.
Follow and improve development processes including but not limited to conducting peer/code reviews, complying with organizational standards, ensuring code maintainability, following build processes, implementing unit tests, and following other industry standard best practices.
Analyze business requirements and create/participate in designing solution architecture.
  Requirements:
Bachelor's degree in Computer Science or related field
Database design skills including normalization and data warehouse design.
Strong hands-on T-SQL development skills including developing stored procedures, functions, and other database objects.
Excellent query optimization and performance tuning skills.
Extensive experience developing SSRS reports.
Strong SSIS skills.

Strong experience in the following toolset:
Microsoft SQL Server 2012 and above
Microsoft SQL Server Integration Services (SSIS) 2012 and above
Microsoft SQL Server Reporting Services (SSRS) 2012 and above
Microsoft Visual Studio 2017 and above

Detailed analytical skills.
Structured troubleshooting skills.
Experience creating/maintaining unit tests.
Experience using version control systems (e.g., Git, TFS) and work item/artifact systems (such as Azure DevOps).
Familiar with Agile software development process.          
  Nice to have skills:
Experience with data modeling tools such as ER/Studio or ERWin.
Working experience with Azure DB technologies and Azure deployments is a plus.
Development experience with C# is a plus.
Experience in the healthcare industry is a plus.

Benefits
Why work at Nearshore Technology?
  NST adds value to employees and their communities
Work Stability
We are all like a family
Employees are recognized
We have an Employee Success department that creates happiness by caring for us and our families
Empathy with Employees
The leadership team is respectful, involved, and approachable
NST is a growing Company
Improved employee benefits
Competitive Salaries

Join the Nearshore Family and #ComeCulturewithUS

We offer amazing benefits or all our workers and try to make the process as easy as possible for any candidate with an interest in working in this amazing company.

Remote work
Telework costs support towards Electricity and Internet
Permanent - Full-Time Job
Work from Mon through Fri. WE LEAVE EARLY ON FRIDAYS!
Upper MX Law Benefits including Medical Insurance with Dental Discounts
100% Payroll scheme
Career Path
Cool offices and a collaborative environment
American Company culture
Health & Wellness program for employees",No especificado,Empleado de tiempo completo,Nivel Avanzado,Bachelor,,"Analitical, Involved, Leadership, Organization","C/C++, SQL, SQL server, Data Warehouse, Devops, Azure, Git",Remote,Remoto,2021-11-08
